checkpoint,tokens_b,n_analyzed,n_skipped,n_passing,pass_rate,d50_median,d50_p5,d50_p25,d50_p75,d50_p95
stage1-step150-tokens1B,1,430,82,395,0.9186,16.0,9.0,14.0,19.0,24.0
stage1-step600-tokens3B,3,428,84,382,0.8925,16.0,8.0,13.0,19.0,24.0
stage1-step3000-tokens13B,13,407,105,392,0.9631,15.0,11.0,13.0,17.0,21.69999999999999
stage1-step12000-tokens51B,51,437,75,425,0.9725,13.0,10.0,12.0,15.0,20.0
stage1-step51000-tokens214B,214,353,159,317,0.898,16.0,11.0,14.0,19.0,25.0
stage1-step217000-tokens911B,911,341,171,311,0.912,14.0,8.0,11.0,17.0,24.0
stage1-step928646-tokens3896B,3896,310,202,260,0.8387,10.0,4.0,8.0,15.0,25.0
